Module,Submodule,Parent ID,Test Case #,Scenario,Precondition,Test Data,Test steps,Expected Result,Labels,Priority,Automation Status,Countries applicable,Partners applicable,Automation mapped TC
Adyen Apple Pay,Apple Pay Refunds,AP-REFUND,AP-REFUND-003,Apple Pay Web Sale - Multiple Partial Refunds,"- Previous successful payment
- Multiple refunds enabled
- Safari browser","- UK merchant credentials
- Original payment: £200.00
- Refund 1: £50.00
- Refund 2: £75.00
- Refund reasons provided","1. Process first partial refund: £50.00
2. Verify first refund completes
3. Process second partial refund: £75.00
4. Verify second refund completes
5. Check remaining balance","- Both refunds processed successfully
- Database verification:
  -> 2 entries in refunds table
  -> Total refunded: £125.00
  -> Remaining amount: £75.00
  -> Payment status: ""Partially Refunded""
  -> Can refund remaining £75.00 if needed
- All refunds tracked separately
- Dashboard shows refund history",applepay_web_adyen;applepay_web;refund;multiple_refunds;region_uk;safari_only,Medium,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Web,AP-WEB,AP-WEB-013,Apple Pay Web Sale - Duplicate Prevention,"- Apple Pay enabled
- Safari browser
- Same payload prepared twice","- UK merchant credentials
- Amount: £50.00
- Idempotency_key: ""test-key-123""
- Same payload for both requests","1. Open new card page in Safari
2. Complete first Apple Pay payment with idempotency_key
3. Capture first order_id
4. Immediately submit same payload with same idempotency_key
5. Verify second request handling","- First payment: SUCCESS
- Second payment: REJECTED or returns first order_id
- Database verification:
  -> Only ONE payment entry created
  -> gateway_request_log: Shows both requests
  -> Second request logs: ""Duplicate detected""
  -> No double charge
  -> idempotency_key prevents duplicate
- Customer charged only once
- Dashboard shows single transaction",applepay_web_adyen;applepay_web;duplicate_prevention;idempotency;region_uk;safari_only,Critical,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay TokenPay,AP-TOKEN,AP-TOKEN-001,Apple Pay Web Sale - Saved Card Flow,"- Customer has previously saved Apple Pay card
- Token exists in merchant_cards
- Safari browser","- UK merchant credentials
- Returning customer email
- Saved Apple Pay token
- Amount: £75.00
- CVV may be required","1. Open saved cards page in Safari
2. Verify saved Apple Pay card displayed
3. Select saved Apple Pay payment method
4. Click ""Pay with Apple Pay""
5. Authenticate with Face ID/Touch ID (no card selection needed)
6. Complete payment
7. Verify faster checkout","- Payment completes faster (tokenized flow)
- Database verification:
  -> Uses existing token from merchant_cards
  -> No new card tokenization
  -> shopper_reference matches previous payment
  -> payment_method_meta references saved card
  -> encrypted_payment_data reused
- Customer doesn't re-select card in Apple Pay wallet
- Transaction completes in fewer steps
- Dashboard shows token usage",applepay_web_adyen;applepay_web;saved_card;tokenization;region_uk;safari_only,High,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Web,AP-WEB,AP-WEB-014,Apple Pay Web Sale - External Reseller Commission (UK),"- UK merchant with external reseller
- Reseller commission configured
- Apple Pay enabled
- Safari browser","- UK merchant credentials
- Amount: £200.00
- Reseller ID: ""reseller_001""
- Commission: 5% of transaction
- Country: UK, Currency: GBP","1. Open new card page with reseller parameter in Safari
2. Click Apple Pay button
3. Complete payment
4. Verify reseller commission calculated","- Payment successful for £200.00
- Database verification:
  -> reseller_commissions table: Entry created
  -> Commission amount: £10.00 (5%)
  -> Reseller ID: reseller_001
  -> Commission status: Pending
  -> Primary merchant receives: £190.00
  -> Payment linked to reseller
- Dashboard shows reseller attribution
- Commission payable to reseller",applepay_web_adyen;applepay_web;reseller;commission;region_uk;safari_only,Medium,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Web,AP-WEB,AP-WEB-015,Apple Pay Web Sale - External Reseller Commission (AU),"- AU merchant with reseller
- Commission configured
- Apple Pay enabled
- Safari browser","- AU merchant credentials
- Amount: $300.00 AUD
- Reseller ID: ""reseller_au_001""
- Commission: 3%
- Country: AU","1. Open new card page with reseller parameter in Safari
2. Complete Apple Pay payment
3. Verify reseller commission","- Payment successful for $300.00 AUD
- Database verification:
  -> Commission: $9.00 AUD (3%)
  -> Reseller receives commission in AUD
  -> Merchant receives: $291.00 AUD
- AU dashboard shows reseller transaction",applepay_web_adyen;applepay_web;reseller;commission;region_au;safari_only,Medium,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Web,AP-WEB,AP-WEB-016,Apple Pay Web Sale - AUS Datman Commission Structure,"- AU merchant pointed to Adyen
- Datman commission tier configured
- Apple Pay enabled
- Safari browser","- AU merchant credentials
- Amount: $500.00 AUD
- Datman commission: Based on merchant tier
- Country: Australia","1. Open new card page in Safari
2. Complete Apple Pay payment for $500.00 AUD
3. Verify commission calculation","- Payment successful
- Database verification:
  -> gross_amount: $500.00
  -> gateway_fee: Calculated per AU tier
  -> datman_commission: Calculated
  -> net_amount: gross - fees - commission
  -> All fees in AUD
- AU dashboard shows fee breakdown
- Settlement reflects commission deduction",applepay_web_adyen;applepay_web;commission;aus_datman;region_au;safari_only,Medium,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Web,AP-WEB,AP-WEB-017,Apple Pay Web Sale - AUS High-Value Transaction Commission,"- AU merchant
- High-value transaction threshold
- Apple Pay enabled
- Safari browser","- AU merchant credentials
- Amount: $5,000.00 AUD (high value)
- Standard commission structure
- Country: Australia","1. Open new card page in Safari
2. Complete Apple Pay payment for $5,000.00
3. Verify commission on high-value transaction","- Payment successful for $5,000.00
- Database verification:
  -> Commission calculated correctly on high value
  -> Percentage-based or tiered fee applied
  -> net_amount correctly calculated
  -> High-value transaction flagged if applicable
- AU dashboard shows transaction
- Settlement processes with correct fees",applepay_web_adyen;applepay_web;commission;high_value;region_au;safari_only,Medium,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Web,AP-WEB,AP-WEB-018,Apple Pay Web Sale - Advanced Split + 3DS + Reseller,"- UK merchant with all features enabled
- Apple Pay enabled
- Safari browser","- UK merchant credentials
- Amount: £300.00
- Split array: [{partner_id: ""A"", type_id: 1, value: ""50.00""}]
- Reseller commission: 2%
- 3DS card
- Country: UK","1. Open new card page in Safari
2. Complete Apple Pay payment with 3DS
3. Verify complex transaction processing","- Payment successful after 3DS
- Database verification:
  -> gross_amount: £300.00
  -> Split: Partner A receives £50.00
  -> Reseller commission: £6.00 (2%)
  -> 3DS authentication logged
  -> Primary merchant: £244.00
  -> All tables updated correctly
- Dashboard shows all components
- Settlement reconciles all parties",applepay_web_adyen;applepay_web;complex;splits;3ds;reseller;region_uk;safari_only,High,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Web,AP-WEB,AP-WEB-019,Apple Pay Web Sale - User Abandons at Apple Pay Sheet,"- UK merchant with Apple Pay
- Safari browser
- Analytics tracking enabled","- UK merchant credentials
- Amount: £60.00
- Country: UK","1. Open new card page in Safari
2. Click Apple Pay button
3. Apple Pay sheet opens
4. User clicks ""Cancel"" button
5. Verify abandon handling","- Payment NOT processed
- Database verification:
  -> gateway_request_log: Session initiated but abandoned
  -> abandon_reason: ""User canceled Apple Pay sheet""
  -> No payment entry created
  -> Analytics: Apple Pay abandonment tracked
- User returned to payment page
- Apple Pay button still available
- Can retry payment
- Abandon metric incremented",applepay_web_adyen;applepay_web;abandon;user_cancel;analytics;safari_only,Medium,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Web,AP-WEB,AP-WEB-020,Apple Pay Web Sale - User Cancels During Authentication,"- UK merchant with Apple Pay
- 3DS or device authentication required
- Safari browser","- UK merchant credentials
- Amount: £80.00
- Card requiring authentication
- Country: UK","1. Open new card page in Safari
2. Click Apple Pay button
3. Select card from wallet
4. Face ID/Touch ID prompt appears
5. User clicks ""Cancel""
6. Verify cancel handling","- Payment NOT processed
- Database verification:
  -> Session initiated, authentication failed
  -> cancel_reason: ""Authentication canceled by user""
  -> No payment created
  -> No charge to customer
- User returned to payment page
- Can retry with different method
- Cancellation logged for analytics",applepay_web_adyen;applepay_web;cancel;authentication_cancel;safari_only,Medium,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Error Handling,AP-ERROR,AP-ERROR-005,Apple Pay Web Sale - Retry Flow After Card Decline,"- UK merchant with Apple Pay
- Declined card scenario then successful card
- Safari browser","- UK merchant credentials
- Amount: £50.00
- First card: DECLINED (insufficient funds)
- Second card: Valid Visa
- Country: UK","1. Open new card page in Safari
2. Click Apple Pay, select declined card
3. Payment fails, verify error message
4. Click ""Try Again"" or ""Use Different Card""
5. Click Apple Pay button again
6. Select valid card
7. Complete payment successfully
8. Verify retry flow and successful payment","- First attempt: DECLINED
- Database verification:
  -> First attempt logged as failed
  -> Second attempt: SUCCESS
  -> Both attempts tracked with same session
  -> Only successful payment in payments table
  -> Retry flow tracked in analytics
- User successfully completes payment on second try
- Dashboard shows both attempts linked",applepay_web_adyen;applepay_web;retry;declined_then_success;safari_only,High,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Error Handling,AP-ERROR,AP-ERROR-006,Apple Pay Web Sale - Expired Card Handling,"- UK merchant with Apple Pay
- Expired test card
- Safari browser","- UK merchant credentials
- Amount: £45.00
- Expired Visa card (expiry date in past)
- Country: UK","1. Open new card page in Safari
2. Click Apple Pay button
3. Apple Pay wallet shows expired card
4. Attempt to select expired card
5. Verifyy handling","- Apple Pay may prevent selection of expired card
- If selectable, payment DECLINED
- Database verification:
  -> decline_reason: ""Expired Card""
  -> No payment created
- Error message: ""This card has expired. Please use a different card.""
- User prompted to update card or use different payment method",applepay_web_adyen;applepay_web;expired_card;validation;safari_only,Medium,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Error Handling,AP-ERROR,AP-ERROR-007,Apple Pay Web Sale - Invalid Redirect URL Handling,"- UK merchant with Apple Pay
- Incorrect redirect_url configured
- Safari browser","- UK merchant credentials
- Amount: £50.00
- redirect_url: ""https://invalid-domain.example""
- Country: UK","1. Open new card page in Safari
2. Complete Apple Pay payment successfully
3. Verify redirect behavior with invalid URL","- Payment processes successfully
- Database verification:
  -> Payment entry created
  -> Payment status: Success
  -> redirect_url validation logged
- User experiences:
  -> Either redirect fails gracefully
  -> OR default success page shown
  -> Payment IS captured despite redirect issue
- Error logged for merchant to fix redirect_url
- Dashboard shows payment as successful",applepay_web_adyen;applepay_web;redirect_error;validation;safari_only,Medium,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Web,AP-WEB,AP-WEB-021,Apple Pay Web Sale - Missing Redirect URL,"- UK merchant with Apple Pay
- redirect_url not provided in payload
- Safari browser","- UK merchant credentials
- Amount: £50.00
- redirect_url: NULL or empty
- Country: UK","1. Open new card page in Safari
2. Complete Apple Pay payment
3. Verify default behavior without redirect_url","- Payment processes successfully
- Database verification:
  -> Payment created successfully
  -> redirect_url: NULL or default value
- User shown default success page or remains on merchant site
- Payment captured regardless
- Recommendation: Always provide valid redirect_url",applepay_web_adyen;applepay_web;redirect_missing;validation;safari_only,Low,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Web,AP-WEB,AP-WEB-022,Apple Pay Web Sale - Unsupported Card Type (JCB),"- UK merchant with Apple Pay
- JCB card in Apple Pay wallet
- Safari browser","- UK merchant credentials
- Amount: £60.00
- JCB card
- Country: UK","1. Open new card page in Safari
2. Click Apple Pay button
3. Select JCB card from wallet
4. Attempt payment
5. Verify unsupported card handling","- Payment DECLINED or prevented
- Database verification:
  -> decline_reason: ""Card type not supported""
  -> gateway_request_log: JCB card type logged
  -> No payment created
- Error message: ""This card type is not currently supported. Please use Visa, Mastercard, Discover, or American Express.""
- User can select different card",applepay_web_adyen;applepay_web;unsupported_card;jcb;safari_only,Medium,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Web,AP-WEB,AP-WEB-023,Apple Pay Web Sale - Unsupported Card Type (Diners Club),"- US merchant with Apple Pay
- Diners Club card
- Safari browser","- US merchant credentials
- Amount: $75.00
- Diners Club card
- Country: US","1. Open new card page in Safari
2. Select Diners Club from Apple Pay wallet
3. Attempt payment
4. Verify handling","- Payment DECLINED or blocked
- Error message about unsupported card type
- User directed to use supported cards
- No payment entry created",applepay_web_adyen;applepay_web;unsupported_card;diners;safari_only,Medium,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Web,AP-WEB,AP-WEB-024,Apple Pay Web Sale - High Latency Simulation,"- UK merchant with Apple Pay
- Network latency simulation (3-5 seconds)
- Safari browser","- UK merchant credentials
- Amount: £100.00
- Simulate 4-second network delay
- Country: UK","1. Open new card page in Safari
2. Enable network throttling (Slow 3G simulation)
3. Click Apple Pay button
4. Complete payment with delays
5. Verify timeout and retry logic","- Payment completes successfully despite latency
- Database verification:
  -> Payment processed correctly
  -> Response time logged (>3 seconds)
  -> No timeout errors if within acceptable limits
- User sees loading indicator
- If timeout occurs: Proper error message and retry option
- Performance metrics logged",applepay_web_adyen;applepay_web;performance;latency;network_delay;safari_only,Medium,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Web,AP-WEB,AP-WEB-031,Apple Pay Web Sale - Express Pay Limit Exceeded,"- UK merchant with express pay limit £50
- Apple Pay enabled
- Safari browser","- UK merchant credentials
- Amount: £60.00 (exceeds £50 express limit)
- Country: UK","1. Open new card page in Safari
2. Attempt Apple Pay payment for £60.00
3. Verify limit validation","- Behavior depends on configuration:
  Option A: Payment proceeds with additional authentication
  Option B: Payment declined with limit message
- Database verification:
  -> Limit check logged
  -> If allowed: Payment processed with full authentication
  -> If blocked: No payment created
- User informed of express pay limit
- Alternative: Full checkout flow suggested",applepay_web_adyen;applepay_web;limits;express_pay;validation;safari_only,Medium,Can't be automated,"AU, UK, US",YES,NA
