Test Case #,Scenario,Precondition,Test Data,Test steps,Expected Result,Labels,Priority,Automation Status,Countries applicable,Partners applicable,Automation mapped TC
TC040,Express pay Sale - Wallet+X - Refund Both Legs,"- Wallet+X Express pay payment completed
- Wallet leg: 10.00 GBP, Token leg: 20.00 GBP",Wallet+X sale: total=30.00 GBP; Full refund: 30.00 GBP,"1. Verify Wallet+X Express pay sale completed (total=30.00).
2. Call refund API with amount=30.00.
3. Verify refund distributes: 10.00 to wallet, 20.00 to card.
4. Verify wallet balance restored.
5. Verify token refund processed.","1. Refund success.
2. Wallet refund: 10.00 GBP restored.
3. Token/card refund: 20.00 GBP.
4. Total refunded: 30.00 GBP.",express_pay_wallet_x,P1,Pending,"AU, UK, US",NA,NA
TC041,Express pay Sale - Invalid Payload - Missing token in Payload,- Merchant pointed to Adyen,"Payload: amount=20.00 GBP, currency=GBP, customer_id=valid (token_id missing)","1. Submit Express pay payload with valid customer_id but no token_id.
2. Verify API returns token required error.
3. Confirm no payment record created.","1. API error:
   - error_code: MISSING_REQUIRED_FIELD or TOKEN_NOT_FOUND
   - error_message: token_id is required
2. No payment record created.",express_pay_invalid_payload,P1,Automated,"AU, UK, US",NA,AD_EC_TC_073_au_sale_invalid_api_key_cases.spec.js
TC042,Express pay Sale - Invalid Payload - Malformed JSON Body,- Merchant pointed to Adyen,"Malformed JSON payload: {amount: 20.00, currency: GBP (missing closing brace)","1. Submit malformed JSON body in Express pay API request.
2. Verify API returns 400 Bad Request.
3. Confirm no payment record created.","1. HTTP 400 Bad Request.
2. error_message: Invalid JSON or malformed request body.
3. No payment record created.",express_pay_invalid_payload,P1,Automated,"AU, UK, US",NA,AD_EC_TC_174_uk_express_pay_malformed_json_body.spec.js
TC043,Express pay Sale - Invalid Payload - Negative Amount,- Merchant pointed to Adyen,"Payload: amount=-10.00, currency=GBP, token_id=valid","1. Submit Express pay payload with negative amount.
2. Verify API returns amount validation error.
3. Confirm no payment record created.","1. API error:
   - error_code: INVALID_AMOUNT
   - error_message: Amount must be positive
2. No payment record created.",express_pay_invalid_payload,P1,Automated,"AU, UK, US",NA,AD_EC_TC_013_uk_negative_amount.spec.js
TC044,Express pay Sale - Invalid Payload - Invalid Split Type,- Merchant pointed to Adyen,"Payload: amount=20.00, split=[{type_id: 999, value: 5.00}] (invalid split type)","1. Submit Express pay payload with unsupported split type_id=999.
2. Verify API returns split validation error.
3. Confirm no payment processed.","1. API error:
   - error_code: INVALID_SPLIT_TYPE
   - error_message: Split type 999 is not supported
2. No payment record created.",express_pay_invalid_payload,P1,Automated,"AU, UK, US",NA,AD_EC_TC_112_uk_sale_invalid_split_type_error_handling.spec.js
TC045,PreAuth Sale with Small Tip - End-to-End,"- Ensure the MID is pointed to Adyen
- Capture delay feature is enabled for the merchant
- Driver merchant account is configured (merchant_id: 1235000)
- Tip split configuration is active","Checkout payload: amount=15.00 GBP, currency=GBP, redirect_url=https://merchant.example/success, capture_delay=true
Shopper: shopper_id=PA001_shopper, email=pa001@example.com, first_name=PreAuth, last_name=User
Card: Visa 4111111111111111, expiry=03/2030, cvc=737 (Adyen test credentials)
Tip: 2.00 GBP
Driver: merchant_id=1235000, type_id=5 (driver tip)","1. Launch the Adyen UK checkout with capture_delay=true flag in the payload.
2. Enter shopper contact details from the test data and proceed to the payment form.
3. Input the card credentials, submit the payment, and complete the 3DS challenge using the simulator.
4. Capture the PSP reference and xref displayed on the UI once the transaction is authorized.
5. Verify the payment table shows transaction_status_id=14 (PreAuth success).
6. Call the adjustment API with amount=17.00 GBP and split_fee configuration for driver tip.
7. Verify the adjustment response and updated amount in the system.
8. Call the capture API with amount=17.00 GBP.
9. Verify the payment table shows transaction_status_id=1 (captured).
10. Query split_fees table and settlements to validate tip distribution.","1. Browser redirects to the Adyen 3DS challenge and the challenge completes successfully.
2. Payment form displays PreAuth authorization success with PSP reference.
3. Back-office records reflect the PreAuth authorization:
   3.a Payment table after authorization:
       - payment_provider_id: 5
       - txn_type: 'PreAuth'
       - transaction_status_id: 14 (PreAuth success)
       - amount: 15.00
       - adjusted_amount: NULL
       - captured_amount: NULL
       - psp_reference: Adyen PSP reference
       - xref: unique transaction reference (e.g., O555705591M663207640T60573899)
       - merchant_id: 663207640
   3.b Webhook log: https_status=200, AUTHORISATION event logged.
   3.c Gateway request log captures the authorization request and response.
4. After adjustment API call:
   4.a Payment table:
       - transaction_status_id: 14 (remains PreAuth)
       - amount: 15.00 (unchanged)
       - adjusted_amount: 17.00 (updated)
       - captured_amount: NULL
   4.b Audit log: Adjustment event logged with old_amount=15.00, new_amount=17.00.
5. After capture API call:
   5.a Payment table:
       - transaction_status_id: 1 (captured)
       - amount: 15.00
       - adjusted_amount: 17.00
       - captured_amount: 17.00
   5.b Split_fees table:
       - partner_merchant_id: 1235000 (driver)
       - type_id: 5 (driver tip)
       - value: 2.00
       - value_type: 'amount'
       - transaction_xref: matches payment xref
   5.c Settlements table:
       - Driver (1235000): £2.00
       - Merchant (663207640): £15.00
       - Total: £17.00
   5.d Webhook log: capture.success event sent with final amount 17.00.
6. Audit log shows complete flow: PreAuth (status=14) → Adjustment (status=14) → Capture (status=1).
7. PSP dashboard displays the transaction with captured status and split payment indicator.",preauth_capture_delay,P0,Automated,"AU, UK, US",NA,AD_EC_TC_087_us_preauth_sale_small_amount_capture.spec.js
TC046,PreAuth Sale with Medium Tip - End-to-End,"- Ensure the MID is pointed to Adyen
- Capture delay feature is enabled for the merchant
- Driver merchant account is configured (merchant_id: 1235000)
- Tip split configuration is active","Checkout payload: amount=25.00 GBP, currency=GBP, redirect_url=https://merchant.example/success, capture_delay=true
Shopper: shopper_id=PA002_shopper, email=pa002@example.com, first_name=Medium, last_name=Tip
Card: Mastercard 5555555555554444, expiry=05/2030, cvc=123 (Adyen test credentials)
Tip: 5.00 GBP
Driver: merchant_id=1235000, type_id=5 (driver tip)","1. Launch the Adyen UK checkout with capture_delay=true flag in the payload.
2. Enter shopper contact details from the test data and proceed to the payment form.
3. Input the card credentials, submit the payment, and complete the 3DS challenge using the simulator.
4. Capture the PSP reference and xref displayed on the UI once the transaction is authorized.
5. Verify the payment table shows transaction_status_id=14 (PreAuth success).
6. Call the adjustment API with amount=30.00 GBP and split_fee configuration for driver tip (£5.00).
7. Verify the adjustment response and that transaction_status_id remains 14.
8. Call the capture API with amount=30.00 GBP.
9. Verify the payment table shows transaction_status_id=1 (captured).
10. Query split_fees table and settlements to validate tip distribution.","1. Payment completes authorization successfully.
2. Back-office records reflect the PreAuth authorization:
   2.a Payment table after authorization:
       - payment_provider_id: 5
       - txn_type: 'PreAuth'
       - transaction_status_id: 14
       - amount: 25.00
       - adjusted_amount: NULL
       - captured_amount: NULL
       - xref: unique transaction reference
       - merchant_id: 663207640
   2.b Audit log: PreAuth event logged with status=14.
3. After adjustment API call:
   3.a Payment table:
       - transaction_status_id: 14 (remains PreAuth)
       - adjusted_amount: 30.00
   3.b Audit log: Adjustment event logged (status=14, amount 25→30).
4. After capture API call:
   4.a Payment table:
       - transaction_status_id: 1 (captured)
       - captured_amount: 30.00
   4.b Split_fees table:
       - partner_merchant_id: 1235000
       - type_id: 5
       - value: 5.00
       - value_type: 'amount'
   4.c Settlements:
       - Driver: £5.00
       - Merchant: £25.00
       - Total: £30.00
   4.d Webhook log: capture.success event sent.
5. Audit log shows status transitions: 14 → 14 → 1.
6. PSP dashboard displays captured transaction with 20% tip.",preauth_capture_delay,P0,Automated,"AU, UK, US",NA,AD_EC_TC_063_us_preauth_sale_amount_adjustment_capture_partial_refund_to_card.spec.js
TC047,PreAuth Sale with Generous Tip - Maximum Amount,"- Ensure the MID is pointed to Adyen
- Capture delay feature is enabled for the merchant
- Driver merchant account is configured (merchant_id: 1235000)
- Tip split configuration is active","Checkout payload: amount=35.00 GBP, currency=GBP, redirect_url=https://merchant.example/success, capture_delay=true
Shopper: shopper_id=PA003_shopper, email=pa003@example.com, first_name=Generous, last_name=Tipper
Card: Visa 4111111111111111, expiry=06/2030, cvc=737
Tip: 5.00 GBP
Driver: merchant_id=1235000, type_id=5 (driver tip)","1. Launch the Adyen UK checkout with capture_delay=true flag for £35.00 order.
2. Enter shopper contact details and card credentials from the test data.
3. Complete the payment transaction including 3DS authentication.
4. Capture the PSP reference and xref after successful authorization.
5. Verify transaction_status_id=14 in the payment table.
6. Call the adjustment API with amount=40.00 GBP and driver tip split (£5.00).
7. Verify adjustment accepted and status remains 14.
8. Call the capture API with amount=40.00 GBP.
9. Verify transaction_status_id changes to 1.
10. Validate split_fees and settlements reflect proper tip distribution.","1. PreAuth authorization completes successfully with status=14.
2. Payment table after authorization:
   - payment_provider_id: 5
   - txn_type: 'PreAuth'
   - transaction_status_id: 14
   - amount: 35.00
   - adjusted_amount: NULL
   - captured_amount: NULL
3. After adjustment:
   - transaction_status_id: 14 (unchanged)
   - adjusted_amount: 40.00
   - Audit log: Adjustment event (35→40).
4. After capture:
   - transaction_status_id: 1
   - captured_amount: 40.00
   - Split_fees table contains driver tip entry (£5.00).
   - Settlements: Driver £5.00, Merchant £35.00.
5. Webhook log: capture.success with amount=40.00.
6. Audit log: Complete flow 14→14→1.
7. PSP dashboard shows captured status at maximum test amount boundary.",preauth_capture_delay,P0,Automated,"AU, UK, US",NA,AD_EC_TC_088_us_preauth_sale_large_amount_capture.spec.js
TC048,PreAuth Sale with Minimum Tip,"- Ensure the MID is pointed to Adyen
- Capture delay feature is enabled for the merchant
- Driver merchant account is configured (merchant_id: 1235000)","Checkout payload: amount=20.00 GBP, currency=GBP, redirect_url=https://merchant.example/success, capture_delay=true
Shopper: shopper_id=PA004_shopper, email=pa004@example.com, first_name=Minimum, last_name=Tip
Card: Visa 4111111111111111, expiry=03/2030, cvc=737
Tip: 1.00 GBP (minimum tip)
Driver: merchant_id=1235000, type_id=5","1. Launch the Adyen UK checkout with capture_delay=true flag.
2. Complete PreAuth authorization for £20.00.
3. Verify transaction_status_id=14 after authorization.
4. Call adjustment API with minimum tip amount (£1.00) to adjust total to £21.00.
5. Verify status remains 14 and adjusted_amount=21.00.
6. Call capture API with amount=21.00.
7. Verify transaction_status_id changes to 1.
8. Validate driver receives exactly £1.00 tip in split_fees table.","1. PreAuth completes with status=14, amount=20.00.
2. After adjustment:
   - transaction_status_id: 14
   - adjusted_amount: 21.00
3. After capture:
   - transaction_status_id: 1
   - captured_amount: 21.00
   - Split_fees: partner_merchant_id=1235000, value=1.00
   - Settlements: Driver £1.00, Merchant £20.00
4. Audit log shows 14→14→1 transitions.
5. Minimum tip boundary test passes successfully.",preauth_capture_delay,P1,Automated,"AU, UK, US",NA,AD_EC_TC_087_us_preauth_sale_small_amount_capture.spec.js
TC049,PreAuth with Tip Addition - Amount Increase Validation,"- Ensure the MID is pointed to Adyen
- Transaction has been successfully authorized with status=14
- Capture has not been called yet","Authorized transaction: amount=20.00 GBP, xref=O555705591M663207640T60573899, transaction_status_id=14
Adjustment: amount=23.00 GBP (tip: £3.00)
Driver: merchant_id=1235000, type_id=5","1. Verify existing PreAuth transaction in payment table with status=14 and amount=20.00.
2. Call adjustment API with xref and new amount=23.00.
3. Capture the API response and verify response_code=0 (success).
4. Query the payment table and verify adjusted_amount field is updated to 23.00.
5. Verify transaction_status_id remains 14 (status does not change during adjustment).
6. Check audit_log table for adjustment event with old_amount=20.00 and new_amount=23.00.
7. Verify no split_fees records created yet (splits apply at capture time).
8. Confirm transaction is ready for capture with adjusted amount.","1. Adjustment API returns success response:
   - response_code: 0
   - message: 'Adjustment successful' or similar
   - updated_amount: 23.00
2. Payment table after adjustment:
   - payment_provider_id: 5
   - txn_type: 'PreAuth'
   - transaction_status_id: 14 (UNCHANGED from PreAuth)
   - amount: 20.00 (original auth amount)
   - adjusted_amount: 23.00 (UPDATED)
   - captured_amount: NULL (not yet captured)
3. Audit_log table contains:
   - Event type: 'adjustment'
   - transaction_status_id: 14 (before and after)
   - old_amount: 20.00
   - new_amount: 23.00
   - timestamp: adjustment time
4. Split_fees table: No records yet (created at capture time).
5. Transaction remains in PreAuth state (status=14) and ready for capture.
6. Incremental authorization validated successfully.",preauth_capture_delay,P0,Automated,"AU, UK, US",NA,"AD_EC_TC_065_us_preauth_sale_amount_adjustment_without_split.spec.js
AD_EC_TC_070_au_preauth_sale_tip_amount_adjustment_refund_to_card.spec.js"
TC050,PreAuth without Tip - Capture Original Amount,"- Ensure the MID is pointed to Adyen
- Transaction has been successfully authorized with status=14
- Customer opts not to add tip
- Capture window has expired or customer explicitly skips tip","Authorized transaction: amount=18.00 GBP, xref=[unique_xref], transaction_status_id=14
No adjustment API call (customer skips tip)
Direct capture: amount=18.00 GBP","1. Verify existing PreAuth transaction in payment table with status=14 and amount=18.00.
2. Skip adjustment API call (no tip added by customer).
3. Call capture API directly with amount=18.00 GBP.
4. Capture the API response and verify response_code=0 (success).
5. Query the payment table and verify transaction_status_id changed from 14 to 1.
6. Verify captured_amount=18.00 (matches original authorization amount).
7. Check audit_log for direct transition from PreAuth to Capture (no adjustment event).
8. Verify split_fees table has NO records for this transaction.
9. Verify settlements table shows single merchant settlement with full amount.","1. Capture API returns success response with status=1.
2. Payment table after capture:
   - payment_provider_id: 5
   - txn_type: 'PreAuth'
   - transaction_status_id: 1 (changed from 14 to 1)
   - amount: 18.00
   - adjusted_amount: NULL or 18.00
   - captured_amount: 18.00
3. Audit_log shows direct flow:
   - PreAuth event (status=14)
   - Capture event (status 14→1)
   - NO adjustment event present
4. Split_fees table: No records (verify using transaction_xref).
5. Settlements table:
   - Single entry for merchant (663207640): £18.00
   - No driver/partner splits
6. Webhook log: capture.success event sent with amount=18.00.
7. Customer opted not to tip - merchant receives full authorized amount.",preauth_capture_delay,P0,Automated,"AU, UK, US",NA,AD_EC_TC_086_us_preauth_sale_same_amount_capture.spec.js
TC051,PreAuth Multiple Adjustment Attempts - Business Rule Validation,"- Ensure the MID is pointed to Adyen
- Transaction authorized with status=14
- First adjustment has been successfully applied","Authorized transaction: amount=25.00 GBP, transaction_status_id=14
First adjustment: amount=27.00 GBP (tip: £2.00) - successful
Second adjustment: amount=28.00 GBP (additional £1.00 tip) - attempt to apply","1. Verify PreAuth transaction with status=14 and amount=25.00.
2. Call adjustment API first time with amount=27.00 (tip £2.00).
3. Verify first adjustment succeeds with response_code=0 and adjusted_amount=27.00.
4. Verify status remains 14 after first adjustment.
5. Call adjustment API second time with amount=28.00 (additional £1.00 tip).
6. Capture the second adjustment API response.
7. Query payment table to determine final adjusted_amount.
8. Check audit_log for both adjustment attempts with timestamps.
9. Verify system behavior: either second adjustment accepted (last wins) or rejected (first wins).
10. Validate transaction_status_id remains 14 throughout all adjustments.","Scenario A - Last Adjustment Wins:
1. Second adjustment API returns success (response_code=0).
2. Payment table shows:
   - transaction_status_id: 14
   - adjusted_amount: 28.00 (second adjustment applied)
3. Audit_log contains:
   - First adjustment: 25→27 (status=14)
   - Second adjustment: 27→28 (status=14)

Scenario B - Second Adjustment Rejected:
1. Second adjustment API returns error.
2. Payment table shows:
   - transaction_status_id: 14
   - adjusted_amount: 27.00 (first adjustment retained)
3. Audit_log contains:
   - First adjustment: 25→27 (status=14)
   - Second adjustment: Rejected with error message

Common validations:
- Status remains 14 throughout (never changes during adjustments).
- Audit_log captures both attempts with timestamps.
- Business rule for multiple adjustments is documented and enforced.",preauth_capture_delay,P1,Automated,"AU, UK, US",NA,AD_EC_TC_076_us_preauth_sale_capture_multiple_times_sanity.spec.js
TC052,PreAuth Tip Exceeds Authorization Limit - Rejection Validation,"- Ensure the MID is pointed to Adyen
- Transaction authorized for £20.00 with status=14
- PSP incremental authorization limit = 20% (£4.00 max increase)","Authorized transaction: amount=20.00 GBP, transaction_status_id=14
Invalid adjustment: amount=70.00 GBP (tip: £50.00 - exceeds limit)
PSP limit: 20% of auth amount = £4.00 maximum increase","1. Verify PreAuth transaction with status=14 and amount=20.00.
2. Call adjustment API with amount=70.00 (attempting £50.00 tip).
3. Capture the API error response.
4. Verify error response contains appropriate error code and message.
5. Query payment table and verify amount remains 20.00 unchanged.
6. Verify adjusted_amount is NULL or unchanged (not updated to 70.00).
7. Verify transaction_status_id remains 14 (failed adjustment does not change status).
8. Check audit_log for failed adjustment attempt with error details.
9. Verify no split_fees records created.
10. Confirm original authorization of £20.00 remains intact and available for capture.","1. Adjustment API returns error response:
   - HTTP status: 400 Bad Request or similar
   - error_code: 'AMOUNT_EXCEEDS_LIMIT' or 'INVALID_ADJUSTMENT'
   - error_message: 'Amount exceeds authorization limit' or 'Tip exceeds PSP incremental auth limit'
   - request_id: unique identifier for tracking
2. Payment table remains unchanged:
   - payment_provider_id: 5
   - txn_type: 'PreAuth'
   - transaction_status_id: 14 (UNCHANGED)
   - amount: 20.00 (original)
   - adjusted_amount: NULL (NOT updated)
   - captured_amount: NULL
3. Audit_log contains failed adjustment:
   - Event type: 'adjustment_failed'
   - transaction_status_id: 14 (before and after)
   - attempted_amount: 70.00
   - error_message: 'Exceeds authorization limit'
   - timestamp: failure time
4. Split_fees table: No records.
5. Original £20.00 authorization intact.
6. PSP incremental auth limits are enforced correctly.",preauth_capture_delay,P1,Automated,"AU, UK, US",NA,AD_EC_TC_058_au_preauth_sale_amount_adjustment_over_capture.spec.js
TC053,PreAuth Zero Tip Adjustment - Edge Case Validation,"- Ensure the MID is pointed to Adyen
- Transaction authorized with status=14","Authorized transaction: amount=22.00 GBP, transaction_status_id=14
Adjustment: amount=22.00 GBP (£0.00 tip - no change)","1. Verify PreAuth transaction with status=14 and amount=22.00.
2. Call adjustment API with amount=22.00 (same as original, zero tip).
3. Capture the API response.
4. Verify adjustment API accepts the request (response_code=0).
5. Query payment table and verify adjusted_amount=22.00 (same as original).
6. Verify transaction_status_id remains 14.
7. Check audit_log for adjustment event even though amount unchanged.
8. Call capture API with amount=22.00.
9. Verify transaction_status_id changes to 1.
10. Verify split_fees table has no records (no tip split).","1. Adjustment API returns success despite no amount change.
2. Payment table after adjustment:
   - transaction_status_id: 14
   - amount: 22.00
   - adjusted_amount: 22.00 (same as original)
   - captured_amount: NULL
3. Audit_log contains:
   - Adjustment event logged (amount 22→22)
   - Status remains 14
4. After capture:
   - transaction_status_id: 1
   - captured_amount: 22.00
   - Split_fees table: No records
   - Settlements: Single merchant entry £22.00
5. Webhook log: capture.success with amount=22.00.
6. Edge case validated: Zero adjustment accepted without error.",preauth_capture_delay,P2,Automated,"AU, UK, US",NA,AD_EC_TC_092_us_preauth_sale_zero_amount_adjustment.spec.js
TC054,PreAuth Tip to Driver Only - Single Split Validation,"- Ensure the MID is pointed to Adyen
- Transaction authorized with status=14
- Driver merchant account configured (merchant_id: 1235000)
- Type_id 5 represents driver tip","Authorized transaction: amount=20.00 GBP, xref=[unique_xref], transaction_status_id=14
Adjustment: amount=24.00 GBP
Split configuration: [{partner_merchant_id: 1235000, type_id: 5, value: 4.00, value_type: 'amount'}]","1. Verify PreAuth transaction with status=14 and amount=20.00.
2. Call adjustment API with amount=24.00 and split_fee array containing driver tip (£4.00).
3. Verify adjustment succeeds and status remains 14.
4. Call capture API with amount=24.00.
5. Verify transaction_status_id changes to 1.
6. Query split_fees table and verify single entry for driver.
7. Validate split_fees entry contains correct partner_merchant_id, type_id, value, and transaction_xref.
8. Query settlements table and verify two separate entries: driver and merchant.
9. Verify sum of settlements equals captured amount (£24.00).
10. Check webhook log for capture.success event with split details.","1. Adjustment API succeeds with response_code=0.
2. After adjustment:
   - transaction_status_id: 14
   - adjusted_amount: 24.00
3. After capture:
   - transaction_status_id: 1
   - captured_amount: 24.00
4. Split_fees table contains ONE record:
   - partner_merchant_id: 1235000 (driver)
   - type_id: 5 (driver tip)
   - value: 4.00
   - value_type: 'amount'
   - transaction_xref: matches payment xref
   - created_at: capture timestamp
5. Settlements table contains TWO records:
   5.a Driver settlement:
       - merchant_id: 1235000
       - amount: 4.00
       - settlement_type: 'tip' or 'commission'
   5.b Merchant settlement:
       - merchant_id: 663207640
       - amount: 20.00
       - settlement_type: 'revenue'
6. Sum of settlements: £4.00 + £20.00 = £24.00 (matches captured amount).
7. Webhook log: capture.success event with split indicator.
8. Audit log: Status transitions 14→14→1.
9. PSP dashboard shows split payment indicator.",preauth_capture_delay,P0,Automated,"AU, UK, US",NA,AD_EC_TC_070_au_preauth_sale_tip_amount_adjustment_refund_to_card.spec.js
TC055,PreAuth Tip with Platform Fee - Multi-Party Split Validation,"- Ensure the MID is pointed to Adyen
- Transaction authorized with status=14
- Driver merchant_id: 1235000
- Platform merchant_id: 663208115","Authorized transaction: amount=25.00 GBP, transaction_status_id=14
Adjustment: amount=30.00 GBP
Split configuration: 
  [{partner_merchant_id: 1235000, type_id: 5, value: 5.00, value_type: 'amount'},
   {partner_merchant_id: 663208115, type_id: 1, value: 2.50, value_type: 'amount'}]","1. Verify PreAuth transaction with status=14 and amount=25.00.
2. Call adjustment API with amount=30.00 and split_fee array containing two entries (driver tip £5.00, platform fee £2.50).
3. Verify adjustment succeeds and status remains 14.
4. Call capture API with amount=30.00.
5. Verify transaction_status_id changes to 1.
6. Query split_fees table and verify TWO records exist for this transaction.
7. Validate first split_fee entry for driver (type_id=5, value=5.00).
8. Validate second split_fee entry for platform (type_id=1, value=2.50).
9. Query settlements table and verify THREE entries: driver, platform, and merchant.
10. Verify sum of all settlements equals £30.00.","1. After adjustment:
   - transaction_status_id: 14
   - adjusted_amount: 30.00
2. After capture:
   - transaction_status_id: 1
   - captured_amount: 30.00
3. Split_fees table contains TWO records:
   3.a Driver tip record:
       - partner_merchant_id: 1235000
       - type_id: 5
       - value: 5.00
       - value_type: 'amount'
       - transaction_xref: [unique_xref]
   3.b Platform fee record:
       - partner_merchant_id: 663208115
       - type_id: 1
       - value: 2.50
       - value_type: 'amount'
       - transaction_xref: [unique_xref]
4. Settlements table contains THREE records:
   - Driver (1235000): £5.00
   - Platform (663208115): £2.50
   - Merchant (663207640): £22.50
5. Sum verification: £5.00 + £2.50 + £22.50 = £30.00.
6. Audit log: Status 14→14→1.
7. Webhook log: capture.success with multi-party split details.
8. PSP dashboard shows split payment indicator with breakdown.",preauth_capture_delay,P1,Automated,"AU, UK, US",NA,AD_EC_TC_070_au_preauth_sale_tip_amount_adjustment_refund_to_card.spec.js
TC056,PreAuth Complex 3-Way Split - Maximum Split Validation,"- Ensure the MID is pointed to Adyen
- Transaction authorized with status=14
- Three merchant IDs configured: Driver (1235000), Platform (663208115), Partner (663208116)","Authorized transaction: amount=30.00 GBP, transaction_status_id=14
Adjustment: amount=35.00 GBP
Split configuration:
  [{partner_merchant_id: 1235000, type_id: 5, value: 5.00, value_type: 'amount'},
   {partner_merchant_id: 663208115, type_id: 1, value: 1.50, value_type: 'amount'},
   {partner_merchant_id: 663208116, type_id: 2, value: 1.00, value_type: 'amount'}]","1. Verify PreAuth transaction with status=14 and amount=30.00.
2. Call adjustment API with amount=35.00 and split_fee array containing three entries.
3. Verify adjustment API succeeds and status remains 14.
4. Call capture API with amount=35.00.
5. Verify transaction_status_id changes to 1.
6. Query split_fees table and verify THREE records exist.
7. Validate each split_fee entry has correct partner_merchant_id, type_id, value, and transaction_xref.
8. Query settlements table and verify FOUR separate entries (3 partners + 1 merchant).
9. Calculate and verify sum of all settlements equals £35.00.
10. Cross-check partner merchant balance tables for fund allocation.","1. After adjustment:
   - transaction_status_id: 14
   - adjusted_amount: 35.00
2. After capture:
   - transaction_status_id: 1
   - captured_amount: 35.00
3. Split_fees table contains THREE records:
   3.a Driver: partner_merchant_id=1235000, type_id=5, value=5.00
   3.b Platform: partner_merchant_id=663208115, type_id=1, value=1.50
   3.c Partner: partner_merchant_id=663208116, type_id=2, value=1.00
   All records have same transaction_xref.
4. Settlements table contains FOUR records:
   - Driver (1235000): £5.00
   - Platform (663208115): £1.50
   - Partner (663208116): £1.00
   - Merchant (663207640): £27.50
5. Sum verification: £5.00 + £1.50 + £1.00 + £27.50 = £35.00.
6. Partner merchant balance tables updated with allocated amounts.
7. Audit log: Complete flow 14→14→1 with three-way split.
8. Webhook log: capture.success with detailed split breakdown.
9. Maximum complexity split test validated successfully.",preauth_capture_delay,P1,Automated,"AU, UK, US",NA,AD_EC_TC_043_au_preauth_sale_amount_adjustment.spec.js
TC057,PreAuth Immediate Capture - No Tip Window,"- Ensure the MID is pointed to Adyen
- Transaction authorized with status=14
- No tip window required for this order type","Authorized transaction: amount=18.00 GBP, transaction_status_id=14
No adjustment (customer does not have option to add tip)
Immediate capture: amount=18.00 GBP","1. Complete PreAuth authorization for £18.00.
2. Verify payment table shows transaction_status_id=14.
3. Immediately call capture API with amount=18.00 (no adjustment API call).
4. Verify transaction_status_id changes directly from 14 to 1.
5. Query audit_log and verify NO adjustment event exists.
6. Verify time difference between auth and capture is less than 1 minute.
7. Check split_fees table and verify no records (no tip).
8. Verify settlements table shows single merchant entry for £18.00.","1. PreAuth completes with status=14.
2. After immediate capture:
   - transaction_status_id: 1 (direct transition 14→1)
   - amount: 18.00
   - adjusted_amount: NULL
   - captured_amount: 18.00
3. Audit_log shows:
   - PreAuth event (status=14, timestamp=T0)
   - Capture event (status=1, timestamp=T0+<1min)
   - NO adjustment event
4. Time delta: capture_time - auth_time < 60 seconds.
5. Split_fees table: No records.
6. Settlements table: Single merchant entry £18.00.
7. Webhook log: capture.success event.
8. Fast-track order validated - direct capture without adjustment.",preauth_capture_delay,P1,Automated,"AU, UK, US",NA,AD_EC_TC_064_us_preauth_sale_capture_partial_refund_to_card.spec.js
TC058,PreAuth Tip within 30 Minutes - Standard Window Validation,"- Ensure the MID is pointed to Adyen
- Transaction authorized with status=14
- Tip window configured for 30 minutes
- 25 minutes have elapsed since authorization","Authorized transaction: amount=22.00 GBP, auth_time=T0, transaction_status_id=14
Customer adds tip at T=25 minutes
Adjustment: amount=25.00 GBP (tip: £3.00)
Capture at T=30 minutes","1. Complete PreAuth authorization at T=0 for £22.00, verify status=14.
2. Wait 25 minutes (or simulate timestamp).
3. Call adjustment API at T=25 with amount=25.00 and driver tip split.
4. Verify adjustment succeeds and status remains 14.
5. Call capture API at T=30 with amount=25.00.
6. Verify transaction_status_id changes to 1.
7. Query audit_log and verify timestamps: auth(T0), adjustment(T25), capture(T30).
8. Verify time difference: adjustment within 30-minute window.
9. Validate split_fees and settlements for driver tip £3.00.","1. PreAuth at T=0: status=14, amount=22.00.
2. After adjustment at T=25:
   - transaction_status_id: 14 (unchanged)
   - adjusted_amount: 25.00
   - Status remained 14 for 25 minutes
3. After capture at T=30:
   - transaction_status_id: 1
   - captured_amount: 25.00
4. Audit_log timestamps:
   - PreAuth: T=0, status=14
   - Adjustment: T=25 mins, status=14
   - Capture: T=30 mins, status=1
5. Time validation: Adjustment within 30-minute tip window.
6. Split_fees table: Driver £3.00, type_id=5.
7. Settlements: Driver £3.00, Merchant £22.00.
8. Standard tip window validated successfully.",preauth_capture_delay,P0,Automated,"AU, UK, US",NA,AD_EC_TC_064_us_preauth_sale_capture_partial_refund_to_card.spec.js
